Trip_ID,Distance_km,Duration_min,Passengers,Traffic_Level,Peak_Hour,Weather,Fare
72,11.75,48,4,Low,Yes,Cloudy,439.81
73,25.03,114.7,3,Medium,Yes,Cloudy,820.71
74,14.48,74.1,2,High,No,Rainy,525.98
75,8.07,33.4,1,Medium,No,Clear,281.26
76,11.29,41,3,Medium,No,Clear,404.89
77,8,32,4,Medium,No,Cloudy,304.36
78,3.7,15.5,5,Medium,No,Clear,179.73
79,29.9,126.5,3,Low,No,Clear,899.15
80,4.47,23.6,2,Medium,No,Clear,199.62
81,23.05,111.4,3,Low,No,Clear,720.36
82,16.49,64.8,2,Medium,Yes,Clear,530.3
83,1.36,5.9,1,Low,Yes,Clear,109.89
84,2.89,11.1,2,Low,No,Clear,122.27
85,29.82,90.6,5,Low,No,Clear,783.88
86,13.84,78.7,5,Low,Yes,Clear,511.19
87,23.12,106,2,Low,No,Clear,717.56
88,14.06,64.5,3,Medium,No,Cloudy,499.01
89,27.79,136,2,Medium,No,Cloudy,863.61
90,27.34,143.3,3,Medium,Yes,Rainy,924.61
91,13.74,57.3,3,Medium,No,Clear,477.52
92,2.16,11.9,1,Low,Yes,Rainy,160.7
93,18.03,51.9,5,Low,Yes,Clear,491.76
94,19.89,111.6,4,High,No,Clear,737.66
95,10.31,36.2,4,Low,Yes,Cloudy,372.67
96,16.95,69.1,4,High,Yes,Clear,598.36
97,26.21,111.4,5,Medium,No,Cloudy,824.94
98,6.9,37.5,4,Low,Yes,Cloudy,287.27
99,7.94,23.8,1,Low,Yes,Clear,257.32
100,28.46,136.7,3,Medium,No,Cloudy,941.27
101,29.43,96.4,5,Medium,Yes,Rainy,857.59
102,9.01,40.8,5,Low,No,Cloudy,355.71
103,25.29,107.9,4,Medium,No,Clear,748.8
104,16.76,68.7,2,Medium,No,Cloudy,549.46
105,2.27,13.7,4,High,Yes,Cloudy,165.9
106,5.41,41.5,3,High,Yes,Clear,345.64
107,16.25,67.2,2,Low,Yes,Clear,495.1
108,19.07,78.5,5,Medium,No,Cloudy,624.59
109,23.02,124.3,3,High,Yes,Clear,809.5
110,3.85,25,3,High,No,Cloudy,218.75
111,9.51,42.5,5,Medium,No,Clear,379.19
112,18.68,71.2,5,Low,No,Clear,546.45
113,8.4,29.1,5,Low,No,Clear,249.7
114,18.04,82,3,Low,No,Clear,577.07
115,7.88,27,3,Low,Yes,Clear,252.83
116,1.23,13.2,5,Medium,Yes,Rainy,120.11
117,23.5,80.9,2,Medium,Yes,Cloudy,687.66
118,20.12,99.9,1,Low,No,Clear,605.75
119,22.24,64.8,2,Low,Yes,Rainy,661.74
120,11.61,51.2,4,High,No,Rainy,455.49
121,24.32,105.9,2,High,Yes,Rainy,813.01
122,29.05,143,1,Low,No,Clear,918.92
123,22.72,75.5,3,Low,No,Clear,659.46
124,26.64,118.9,1,Medium,No,Cloudy,813.92
125,19.83,62.6,4,Low,No,Clear,566.21
126,12.27,55.2,5,Medium,Yes,Clear,442.64
127,13.03,37.4,3,Low,No,Clear,383.19
128,28.57,150,5,High,No,Clear,977.05
129,9,60.7,1,Medium,No,Clear,358.8
130,1.62,13,5,Low,Yes,Clear,158.13
131,18.01,94.7,5,Low,Yes,Clear,656.84
132,4.77,23.2,1,Low,No,Cloudy,223.07
133,18.08,50.9,4,Medium,Yes,Clear,552.78
134,23.56,103.8,5,Low,Yes,Rainy,769.42
135,16.12,68.8,4,High,No,Clear,549.93
136,21.66,90.8,2,Low,No,Cloudy,644.21
137,16.9,68.7,4,Medium,No,Cloudy,549.51
138,4.32,27.9,2,Medium,Yes,Clear,216.54
139,25,97,3,Medium,No,Clear,731.23
140,27.77,80.9,1,Medium,No,Clear,745.13
141,2.74,14.2,4,Medium,Yes,Cloudy,179.3
142,26.17,132.3,3,Low,No,Clear,821.78
143,14.98,77.5,1,Medium,No,Cloudy,540.76
144,25.51,145.7,5,Low,Yes,Cloudy,849.65
145,8.76,30.6,3,Medium,No,Clear,293.56
146,20.06,58.7,1,Medium,No,Clear,511.87
147,10.89,43.1,5,Medium,Yes,Clear,366.75
148,22.88,69.4,4,Medium,No,Clear,665.13
149,22.89,67.1,5,Medium,Yes,Clear,676.6
150,12.46,61.9,2,Medium,Yes,Clear,456.28
151,4.48,21,5,Medium,No,Cloudy,231.28
152,24.38,72,1,Medium,No,Clear,667.75
153,13.45,52.8,4,Low,No,Cloudy,420.51
154,18.93,101.1,1,Low,No,Clear,614.01
155,12.48,45.9,2,Low,No,Clear,400.85
156,6.62,31,2,Low,No,Clear,287.93
157,18.47,91.9,4,Medium,No,Clear,614.29
158,20.75,104.5,3,High,No,Clear,662.47
159,2.98,15.4,1,Medium,No,Clear,177.67
160,2.09,11.2,1,Medium,No,Clear,165.25
161,17.08,91.7,5,Medium,No,Clear,590.88
162,5.37,26.2,3,High,No,Cloudy,290.24
163,2.14,19.8,5,Low,No,Clear,155.7
164,12.85,44.4,3,Low,No,Cloudy,378.62
165,9.24,43.3,2,Low,No,Clear,285.34
166,11.14,63.9,5,Medium,No,Clear,417.19
167,19.66,77.9,5,Low,Yes,Clear,637.67
168,1.53,13.7,4,Low,Yes,Clear,137.16
169,9.58,46.6,5,Low,No,Cloudy,353.76
170,4.8,26.4,5,High,No,Clear,291.62
171,12.91,63.8,3,Medium,Yes,Clear,494.35
172,7.94,49.7,2,Medium,Yes,Rainy,316.97
173,14.39,49.5,2,High,Yes,Clear,499.47
174,8.25,45.1,1,Medium,No,Clear,304.64
175,3.43,10.7,4,Low,Yes,Cloudy,182.8
176,26.65,142.6,3,Low,Yes,Clear,883.66
177,1.82,17.7,2,Low,No,Cloudy,112.15
178,21.19,65.6,1,High,No,Clear,599.76
179,5.34,30.2,3,Low,No,Clear,214.3
180,19.53,97.3,4,Medium,No,Clear,670.24
181,8.02,23.5,2,Medium,No,Cloudy,292.94
182,16.18,67.8,5,Medium,No,Clear,528.17
183,19.43,110.7,1,Low,Yes,Cloudy,671.9
184,23.37,114.4,5,Low,No,Cloudy,757.57
185,20.86,116,2,Low,Yes,Clear,707.39
186,9.51,30.4,3,Medium,Yes,Clear,343.62
187,8.35,46.1,1,High,No,Clear,364.24
188,11.67,65,4,Low,No,Cloudy,385.67
189,11.65,61.8,4,Low,No,Cloudy,428.92
190,16.82,68.4,3,Medium,Yes,Clear,567.42
191,13.87,57,5,High,No,Rainy,458.47
192,28.49,80.2,2,High,No,Cloudy,779.81
193,23.66,73,3,Medium,Yes,Clear,700.72
194,5.45,23,1,Medium,No,Clear,239.41
195,19.84,74.4,4,Medium,Yes,Clear,647.14
196,23.47,114.5,4,Low,No,Clear,771.2
197,6.01,40.2,3,Medium,Yes,Clear,295.99
198,9.42,40.5,2,Medium,No,Clear,364.95
199,6.83,25.2,5,Medium,No,Rainy,280.91
200,4.76,33.2,4,Medium,Yes,Cloudy,276.81
201,3.14,19.3,5,Low,Yes,Cloudy,176.93
202,19.55,68.7,1,High,No,Clear,593.56
203,5.7,36.7,5,High,Yes,Clear,361.32
204,19.42,88,5,Low,No,Clear,630.18
205,17.84,52.6,3,High,No,Cloudy,516.46
206,1.82,6.5,2,Medium,No,Cloudy,111.7
207,15.44,70.2,4,Low,Yes,Clear,565.92
208,14.15,71.9,4,Low,No,Clear,500.25
209,21.83,114.6,2,Medium,No,Clear,683.29
210,8.01,25.9,1,Low,No,Cloudy,264.59
211,8.2,48.7,5,Medium,No,Clear,364.76
212,29.88,124.9,1,High,No,Rainy,903.46
213,7.24,35.2,4,Low,No,Clear,285.06
214,4.88,18.4,1,Medium,No,Clear,218.5
215,17.04,44.6,3,High,No,Cloudy,513.93
216,4.73,10,5,High,Yes,Clear,279.21
217,15.76,70.1,3,High,No,Clear,545.95
218,26.9,86.7,4,High,Yes,Clear,792.62
219,10.75,52.4,3,Medium,No,Clear,387.44
220,4.18,17.6,1,Medium,No,Cloudy,233.98
221,29.19,128.8,4,Low,No,Cloudy,890.21
222,25.39,79.3,1,Low,No,Clear,681.89
223,12.98,39.9,4,High,Yes,Clear,446.11
224,5,17.9,5,Medium,Yes,Clear,265.63
225,16.46,69.5,3,Medium,No,Clear,498.24
226,17.18,62.9,3,Medium,Yes,Clear,544.77
227,14.91,73.2,3,Low,Yes,Clear,496.62
228,29.42,150,3,Low,Yes,Clear,929.39
229,27.8,129.2,5,Low,No,Clear,845.76
230,4.17,24.8,5,Low,No,Clear,211.06
231,10.58,45.5,5,High,No,Cloudy,400.66
232,26.54,105.3,3,Low,No,Rainy,759.14
233,3.59,13.9,1,High,No,Rainy,195.18
234,6.1,41.1,4,Low,Yes,Rainy,296.86
235,9.39,27.9,3,Low,Yes,Clear,336.33
236,15.32,89.1,2,High,No,Cloudy,558.69
237,19.8,100.8,3,Medium,Yes,Clear,679.76
238,25.83,141.3,1,Medium,No,Rainy,841.49
239,14.85,87.7,4,Medium,Yes,Clear,566.08
240,21.96,57.2,1,Medium,No,Clear,570.85
241,20.9,120.4,1,Medium,Yes,Clear,708.87
242,7.4,40.4,5,Medium,Yes,Rainy,347.09
243,22.96,120.7,5,High,No,Clear,763.69
244,21.41,62.2,5,High,No,Clear,634.42
245,5.77,28.6,5,Medium,Yes,Clear,287.57
246,2.61,8.1,5,Medium,Yes,Cloudy,192.86
247,12.48,66.6,1,Medium,Yes,Clear,434.89
248,2.75,23.8,3,Medium,Yes,Cloudy,204.89
249,29.37,124.3,4,Medium,Yes,Clear,937.28
250,3.33,24.5,3,Low,Yes,Clear,186.26
251,4.69,33.9,3,Medium,Yes,Clear,230.06
252,12,41,2,High,Yes,Clear,424.04
253,24.47,97.8,1,Low,No,Clear,669.34
254,13.95,70.1,1,Medium,No,Clear,469.54
255,26.05,71.2,5,Low,No,Cloudy,705.14
256,10.3,43.7,2,Medium,No,Clear,384.56
257,18.16,93.2,5,Medium,Yes,Rainy,680.79
258,20.47,102.7,2,Low,No,Clear,673.25
259,7.99,31.8,4,High,No,Rainy,327.07
260,17.16,54.9,1,High,Yes,Clear,553.13
261,22.01,71.9,5,Low,No,Cloudy,664.09
262,18.04,87,3,Low,Yes,Clear,609.52
263,6.51,35.6,2,Medium,Yes,Clear,257
264,7.94,31.6,3,Low,No,Rainy,311.37
265,14.51,75.1,3,High,No,Clear,498.04
266,17.31,61.7,5,Medium,No,Clear,554.66
267,10.57,45.8,3,Low,Yes,Rainy,362.65
268,19.61,86.4,2,Low,No,Clear,634.07
269,26.79,150,1,High,Yes,Cloudy,920.75
270,12.96,70.9,1,Low,No,Clear,475.39
271,19.49,113.3,1,Low,No,Clear,639.78
272,16.35,60.1,4,High,Yes,Clear,551
273,3.79,17.9,3,Low,No,Clear,195.44
274,12.77,61.4,1,Medium,Yes,Cloudy,459.06
275,3.71,17.2,1,Medium,No,Cloudy,182.41
276,19.7,84.5,5,High,No,Rainy,659.84
277,21.08,92.3,3,High,No,Clear,732.53
278,27.93,106.3,4,High,No,Clear,840.22
279,17.43,90.8,4,Medium,No,Rainy,593.13
280,22,94.4,4,Low,No,Cloudy,677.61
281,18.8,89.1,3,Medium,No,Clear,615.97
282,17.04,68.9,4,Low,No,Cloudy,557.72
283,21.68,68.1,2,Medium,No,Clear,646.06
284,1.15,6.9,2,Low,No,Clear,108.1
285,15.86,53.9,5,Medium,No,Clear,512.63
286,9.46,47.1,2,Medium,No,Clear,375.73
287,5.03,20.7,4,Low,No,Cloudy,211.39
288,11.47,65.3,5,Low,No,Clear,402.1
289,28.52,99.5,3,Medium,No,Cloudy,797.51
290,19.88,88.5,2,Medium,No,Clear,658.38
291,10.25,46.2,2,Low,No,Cloudy,312.28
292,11.59,70.6,2,Medium,No,Rainy,521.26
293,14.39,68.5,1,High,Yes,Clear,525.98
294,15.48,73.4,4,Medium,No,Rainy,571.41
295,14.9,51.2,4,Medium,Yes,Clear,483.97
296,26.97,114.8,2,Medium,No,Cloudy,816.59
297,2.28,15.6,3,High,No,Clear,162.22
298,8.5,34,5,Low,No,Clear,299.69
299,20.71,107.8,4,Low,No,Rainy,748.54
300,4.37,30.4,4,Medium,No,Clear,248.98
301,3.83,21.4,1,High,No,Cloudy,218.22
302,19.79,100.6,2,Medium,No,Clear,706.89
303,13.36,58.6,2,Medium,No,Clear,422.47
304,18.81,59.8,2,Low,Yes,Cloudy,539.27
305,2.81,14.7,3,Low,No,Cloudy,143.65
306,15.2,85.5,4,Medium,No,Cloudy,574.99
307,18.9,97.5,5,Medium,Yes,Clear,648.53
308,7.92,26,4,Medium,No,Clear,297.65
309,6.39,31.2,2,Medium,No,Clear,236.67
310,10.12,47.6,1,Medium,No,Clear,368.11
311,17.29,78.2,4,Medium,No,Clear,585.83
312,23.07,82.1,2,Medium,No,Cloudy,705.42
313,15.36,64.1,5,High,No,Cloudy,530.53
314,2.21,5,1,Medium,Yes,Clear,123.39
315,26.37,72.8,1,Medium,Yes,Cloudy,769.51
316,7.87,40.7,5,Medium,No,Clear,316.45
317,6.99,30.3,3,Medium,No,Rainy,296.25
318,9.49,49.6,1,Low,Yes,Clear,342.86
319,2.72,10.6,2,Low,Yes,Cloudy,126.46
320,23.08,104.3,3,Medium,No,Clear,731.64
321,24.04,115.1,3,Medium,No,Clear,790.02
322,26.2,146,3,High,Yes,Clear,942.37
323,29.08,146.1,3,Low,No,Clear,910.45
324,15.07,57.7,1,Medium,Yes,Clear,482.46
325,27.95,76.2,4,Low,Yes,Clear,772.47
326,19.85,67,3,Low,No,Rainy,575.13
327,5.8,24.3,2,Medium,No,Clear,267
328,7.19,20.6,4,Low,Yes,Cloudy,251.3
329,29.66,117.8,4,Low,Yes,Clear,883.7
330,11.66,39.2,2,Medium,Yes,Clear,415.75
331,17.34,82,2,Medium,No,Clear,588.48
332,20.91,112.8,1,Medium,No,Rainy,716.31
333,10.12,34.3,5,Medium,Yes,Clear,375.89
334,28.3,82.7,2,Medium,No,Cloudy,742.85
335,9.57,38.5,4,Medium,No,Cloudy,322.19
336,3.06,24.6,3,Low,Yes,Clear,190.63
337,11.6,58.6,1,Low,No,Clear,343.17
338,2.15,11.9,5,Medium,No,Clear,136.83
339,19.58,86.5,1,Medium,No,Cloudy,629.58
340,16.56,60.8,1,Low,No,Rainy,470.5
341,7.92,32.4,5,Medium,No,Cloudy,309.31
342,22.48,67.6,2,Medium,No,Clear,603.34
343,24.85,81.8,3,Medium,No,Rainy,748.26
344,10.72,42.5,5,Medium,No,Clear,379.13
345,2.61,19.4,1,High,Yes,Clear,209.8
346,22.48,61.8,1,Medium,No,Clear,613.16
347,28,138.7,4,Low,No,Rainy,876.7
348,10.28,54.4,1,Low,Yes,Rainy,382.34
349,28.67,79.4,3,Low,No,Clear,759.28
350,6.82,31.7,4,Medium,Yes,Rainy,335.84
351,23.5,108.6,2,Low,No,Clear,711.64
352,11.05,67.5,1,Medium,No,Cloudy,393.15
353,9.92,40.1,1,High,No,Clear,359.57
354,2.27,14.6,3,Medium,Yes,Clear,155.94
355,15.66,69.9,1,Medium,Yes,Clear,542.16
356,8.57,36.5,3,Low,No,Clear,270.06
357,6.88,36.3,2,Medium,No,Clear,277.8
358,11.39,55.5,1,Low,Yes,Clear,403.76
359,21.44,99.1,2,Low,No,Clear,702.41
360,15.89,76.2,1,High,Yes,Clear,624.69
361,16.95,57.9,1,Low,Yes,Rainy,535.71
362,4.79,24.9,1,Medium,No,Cloudy,241.29
363,1.63,12.9,2,Low,Yes,Cloudy,125.27
364,4.55,37.9,4,High,No,Clear,289.49
365,20.81,68.4,3,Medium,No,Cloudy,627.62
366,18.89,80.6,4,Low,No,Clear,587.63
367,6.78,34.4,5,Medium,Yes,Cloudy,308.16
368,11.41,43.4,5,Low,No,Clear,380.1
369,18.32,53.6,4,Medium,Yes,Rainy,549.6
370,29.25,85.2,1,Medium,Yes,Clear,790.81
371,29.5,124.5,2,Low,No,Cloudy,845.43
372,21.23,122.4,5,Medium,No,Clear,751.9
373,29.65,150,4,Low,No,Cloudy,939.54
374,1.58,8.5,2,Low,No,Cloudy,136.18
375,26.18,78.9,2,Medium,Yes,Rainy,776.83
376,28.86,113.2,1,Low,No,Rainy,828.36
377,22.24,86.8,3,Low,Yes,Cloudy,658.54
378,27.94,141.7,2,Medium,Yes,Clear,935.95
379,6.15,18.9,5,Low,No,Rainy,214.37
380,29.06,88.3,2,Low,No,Clear,758.53
381,10.27,57.5,3,Medium,No,Clear,387.82
382,2.97,14.9,4,Medium,No,Clear,176.88
383,13.01,69.6,4,Medium,No,Cloudy,497.91
384,7.54,34.4,1,Low,Yes,Clear,276.43
385,5.93,25.9,1,Low,Yes,Rainy,220.71
386,21.43,83.2,4,Low,No,Clear,616.3
387,6.51,33.8,3,Medium,No,Clear,244.67
388,12.39,55.1,1,Medium,No,Cloudy,424.62
389,18.41,64.5,3,High,No,Clear,580.25
390,23.76,100.4,5,Medium,No,Clear,733.93
391,6.41,19,3,Medium,No,Cloudy,252.96
392,3.8,23.6,5,Low,No,Clear,176.01
393,16.15,88.5,5,High,No,Clear,557.08
394,27.18,122.6,5,Medium,No,Clear,853.39
395,22.96,85,2,Low,No,Rainy,667.03
396,13.63,74.6,3,Low,Yes,Cloudy,467.28
397,3.52,12.2,5,Medium,Yes,Cloudy,192.54
398,19.07,78.9,2,Medium,No,Rainy,618.85
399,3.91,17.3,5,High,Yes,Clear,203.94
400,19.99,86.9,4,Low,No,Cloudy,628.07
401,2.12,14.5,4,High,Yes,Clear,207.9
402,24.7,88.3,1,High,No,Clear,756.7
403,22.57,111.1,5,Medium,No,Clear,774.84
404,24.9,123.1,1,Medium,No,Clear,753.9
405,15.7,55.5,1,Low,Yes,Clear,441.62
406,2.67,15.5,2,Low,Yes,Clear,163.07
407,19.43,64.6,5,Medium,Yes,Clear,605.54
408,16.99,66.6,1,Low,No,Clear,494.15
409,17.6,103.5,2,Low,No,Clear,581.92
410,23.63,127.3,2,Medium,No,Clear,787.86
411,24.35,93.8,4,High,Yes,Clear,763.76
412,7.33,24.4,5,Low,No,Cloudy,262
413,25.46,93.9,3,Medium,No,Clear,727.96
414,9.02,35.4,3,Low,No,Clear,334.05
415,2.65,19.9,3,Medium,Yes,Cloudy,177.56
416,29.93,99.7,1,Medium,Yes,Cloudy,862.79
417,10.95,53.6,4,High,Yes,Clear,413.75
418,25.52,135,1,Medium,Yes,Cloudy,842.5
419,17.21,103.2,1,Low,No,Rainy,589.78
420,13.19,69.4,4,High,No,Rainy,531.26
421,17.92,108.1,5,Low,Yes,Clear,668.54
422,12.98,78.7,3,Medium,No,Rainy,554.47
423,14.27,52.7,4,Low,Yes,Clear,423.86
424,2.68,17.1,5,Medium,No,Cloudy,219.21
425,3.55,17.7,4,Medium,No,Clear,177.72
426,11.82,31.7,2,Low,No,Cloudy,381.52
427,7.56,43.1,5,Medium,No,Cloudy,339.51
428,9.65,36.8,3,Medium,Yes,Clear,327.98
429,29.89,123.7,4,Low,No,Rainy,880.15
430,7.12,21.2,1,Medium,No,Cloudy,254.5
431,19.07,88.5,1,Low,No,Clear,595.8
432,4.58,19.1,1,Low,Yes,Cloudy,186.51
433,8.83,48,1,Medium,No,Clear,368.15
434,23.76,94.5,5,High,No,Clear,728.63
435,5.65,33.6,4,Low,No,Cloudy,234.32
436,27.3,140.5,1,Medium,No,Cloudy,870.57
437,27.24,115.2,3,Medium,No,Clear,843.53
438,2.14,13.3,1,Low,Yes,Clear,121.36
439,25.71,122.2,4,High,No,Cloudy,863.14
440,11.81,49.7,4,Low,No,Rainy,417.18
441,24.2,113.2,1,High,Yes,Clear,785.27
442,27.43,109.4,5,Medium,No,Clear,820.41
443,20.85,111.7,4,Low,No,Clear,689.28
444,8.59,32.9,5,Medium,No,Rainy,305.11
445,26.32,109.7,4,Medium,No,Clear,779.41
446,20.61,83,5,Low,No,Clear,606.91
447,25.62,135.6,4,Low,No,Clear,823.71
448,15.7,64.8,1,Medium,Yes,Clear,540.63
449,25.84,107.7,1,Low,No,Clear,772.98
450,1,5,3,High,No,Cloudy,122.08
451,14.23,58.5,4,Low,Yes,Clear,437.05
452,21.78,81.5,2,Low,No,Cloudy,639
453,24.2,103.9,2,Medium,Yes,Cloudy,770.93
454,12.87,47.7,4,Low,Yes,Clear,431.17
455,10.8,62,5,Low,Yes,Clear,428.96
456,18.09,78,1,Medium,No,Clear,571.8
457,27.81,144.9,2,Medium,No,Clear,882.95
458,18.42,95.9,5,High,Yes,Clear,672.03
459,28.94,150,4,Medium,Yes,Clear,959.04
460,25.45,107.9,5,Medium,No,Cloudy,825.56
461,9.43,33.1,2,Medium,Yes,Clear,287.71
462,4.35,15.3,4,Medium,Yes,Clear,220.16
463,26.45,106.5,4,Low,Yes,Clear,796.16
464,22.76,72.2,1,Medium,No,Cloudy,663.31
465,1.94,21,5,High,Yes,Clear,235.28
466,7.89,44.3,1,High,No,Rainy,330.78
467,29.3,105.1,3,Low,Yes,Rainy,849.58
468,13.85,44.8,3,Medium,No,Cloudy,414.43
469,23.51,131.1,1,Low,No,Clear,778.62
470,11.94,48.2,5,High,No,Clear,432.28
471,28.19,83.7,5,High,No,Cloudy,799.87
472,16.95,49.8,2,Medium,Yes,Clear,486.1
473,16.75,62.3,3,Low,No,Rainy,549.2
474,18.93,73.1,1,Low,No,Clear,544
475,19.63,108.2,3,Medium,Yes,Clear,697.08
476,8.44,49.2,3,Medium,No,Clear,348.89
477,9.6,47.1,1,Low,Yes,Clear,353.92
478,1.21,5,4,High,No,Cloudy,117.54
479,26.48,123.3,1,Medium,No,Clear,837.48
480,10.62,41,5,Low,Yes,Rainy,395.25
481,12.82,51.5,4,Medium,No,Cloudy,448.92
482,18.93,89.9,1,Medium,No,Clear,597.6
483,20.89,93.4,4,Medium,Yes,Clear,731.33
484,16.47,47.4,5,Low,No,Clear,498.35
485,26.72,150,1,Medium,No,Clear,864.54
486,1.15,5,3,Low,Yes,Cloudy,105.49
487,7.14,43.6,2,Low,Yes,Clear,290.53
488,6.26,40.3,5,Medium,No,Clear,265.07
489,2.95,12.5,3,Medium,Yes,Clear,157.76
490,9.27,31.7,3,Medium,No,Clear,343.23
491,17.4,65.8,1,Low,Yes,Cloudy,552.3
492,19.58,66.4,3,High,No,Clear,626.83
493,9.86,48.4,3,High,No,Clear,413.36
494,8.63,50.9,1,High,No,Cloudy,370.98
495,17.79,90.8,3,Medium,Yes,Clear,625.3
496,23.48,90.6,3,Low,No,Clear,720.88
497,11.55,35,5,Medium,Yes,Clear,446.34
498,5.62,21.2,2,Medium,No,Clear,211.5
499,7.35,37.7,1,Medium,No,Cloudy,302.63
500,12.25,70.2,3,Low,Yes,Cloudy,456.07
,,,,,,,
,,,,,,,
